Corporate	Category	Brand	SKU	Value 25	Share Value  25	Growth Value 25	Unit 25	Share Unit 25	Growth Unit 25	Value 24	Share Value  24	Growth Value 24	Unit 24	Share Unit 24	Growth Unit 24	Molecule
IRZA PHARMA	  FAMOTIDINE	   FAMOSIB            		304000	0.09	210.01	15200	0.85	210.01	98060	0.03	999	4903	0.28	999	  FAMOTIDINE
FOZAN PHARMA	  FAMOTIDINE	   H2-FOZ             		166749	0.05	-29.43	2065	0.12	-29.43	236277	0.08	153.55	2926	0.17	153.55	  FAMOTIDINE
TABROS PHARMA	  FAMOTIDINE	   G-MET              		132172140	41.73	22.65	1033423	28.5	14.81	107762738	37.63	33.33	900133	24.32	6.71	  FAMOTIDINE
SIZA	  FAMOTIDINE	   ULCENIL            		52877281	16.69	-1.81	946013	26.09	-1.49	53849639	18.8	2.22	960335	25.95	0.74	  FAMOTIDINE
SHAIGAN PHARMA	  FAMOTIDINE	   FAMOT              		41814588	13.2	78.1	502217	13.85	57.91	23478579	8.2	125.57	318047	8.59	77.04	  FAMOTIDINE
PLATINUM PHARMA	  FAMOTIDINE	   REDUCID            		35193836	11.11	39.5	468227	12.91	10.42	25229372	8.81	3.23	424023	11.46	3.23	  FAMOTIDINE
CIBEX PHARMA	  FAMOTIDINE	   FAMOBEX            		22188333	7.01	-42.23	251978	6.95	-42.08	38408629	13.41	-9.94	435048	11.75	-10.2	  FAMOTIDINE
SCOTMANN PHARMA	  FAMOTIDINE	   FAMOSCOT           		11060208	3.49	-35.88	167038	4.61	-54.11	17250564	6.02	9.01	363957	9.83	-5.57	  FAMOTIDINE
SHROOQ PHARMA	  FAMOTIDINE	   FOMEN              		6744420	2.13	229.38	41343	1.14	66.95	2047590	0.72	53.26	24764	0.67	-20.42	  FAMOTIDINE
Z-JANS PHARMA	  FAMOTIDINE	   ULCARE             		4641843	1.47	173.14	42664	1.18	173.14	1699456	0.59	28.5	15620	0.42	-71.42	  FAMOTIDINE
WILSONS	  FAMOTIDINE	   POLYPEP            		3223153	1.02	-70.86	43073	1.19	-70.86	11060173	3.86	39.81	147804	3.99	39.81	  FAMOTIDINE
FEDRO	  FAMOTIDINE	   FEDCID             		2268805	0.72	999	41251	1.14	999	50380	0.02	999	916	0.02	999	  FAMOTIDINE
SAFFRON PHARMA	  FAMOTIDINE	   APSIN              		1896522	0.6	-18.43	32910	0.91	-18.09	2325097	0.81	-24.3	40177	1.09	-20.2	  FAMOTIDINE
WERRICK PHARMA	  FAMOTIDINE	   PEPTIBAN           		1424284	0.45	-38.55	29397	0.81	-38.55	2317946	0.81	317.25	47842	1.29	317.25	  FAMOTIDINE
FOZAN PHARMA	  FAMOTIDINE	   H2-FOZ             		568956	0.18	999	16734	0.46	999	0	0	-100	0	0	-100	  FAMOTIDINE
BRYON	  FAMOTIDINE	   NOCER              		385355	0.12	-7.5	6606	0.18	-12.53	416595	0.15	-65.83	7552	0.2	-65.51	  FAMOTIDINE
PEARL PHARMA	  FAMOTIDINE	   FEMAS              		286625	0.09	999	2625	0.07	999	0	0	-100	0	0	-100	  FAMOTIDINE
NEOMEDIX PHARMA	  FAMOTIDINE	   NEOFAM             		3315	0	-80.93	78	0	-80.93	17383	0.01	-89.2	409	0.01	-89.2	  FAMOTIDINE
BARRETT HODGSON	  FAMOTIDINE	   ACICON             		0	0	-100	0	0	-100	410337	0.14	307.3	11494	0.31	307.3	  FAMOTIDINE
RASCO PHARMA	  FAMOTIDINE	   FAMTAC             		0	0	-100	0	0	-100	45543	0.02	-75	2679	0.07	-75	  FAMOTIDINE
AKSON PHARMA	  FAMOTIDINE	   GEPEP              		0	0	0	0	0	0	0	0	-100	0	0	-100	  FAMOTIDINE
NEUTRO PHARMA	  FAMOTIDINE	   NEUTIDINE          		0	0	-100	0	0	-100	238	0	999	8	0	999	  FAMOTIDINE
BARRETT HODGSON	  FAMOTIDINE	   ACICON             		82285632	43.09	9.8	987596	54.04	1.89	74944174	55.44	58.16	969284	65.89	50.48	  FAMOTIDINE
WILSONS	  FAMOTIDINE	   POLYPEP            		67635850	35.42	147.86	541260	29.62	112.17	27287657	20.19	97.9	255102	17.34	92.65	  FAMOTIDINE
SAFFRON PHARMA	  FAMOTIDINE	   APSIN              		16882880	8.84	4.41	91690	5.02	-5.33	16170212	11.96	3.33	96854	6.58	-19.4	  FAMOTIDINE
WERRICK PHARMA	  FAMOTIDINE	   PEPTIBAN           		11237555	5.88	66.39	108366	5.93	66.39	6753878	5	570.4	65129	4.43	570.4	  FAMOTIDINE
SHAIGAN PHARMA	  FAMOTIDINE	   FAMOT              		8050381	4.22	-1.71	63564	3.48	-5.21	8190300	6.06	723.81	67060	4.56	588.01	  FAMOTIDINE
EVOLUTION PHARMA	  FAMOTIDINE	   FEXIS              		4090971	2.14	999	27683	1.51	999	179775	0.13	999	1500	0.1	999	  FAMOTIDINE
SCOTMANN PHARMA	  FAMOTIDINE	   FAMOSCOT           		613632	0.32	-62.72	6016	0.33	-62.72	1646076	1.22	159.58	16138	1.1	159.58	  FAMOTIDINE
ROTEX PHARMA	  FAMOTIDINE	   VOLVIC             		151874	0.08	999	1021	0.06	999	0	0	0	0	0	0	  FAMOTIDINE
RORYAN PHARMA	  FAMOTIDINE	   SO-FEM             		25976	0.01	999	382	0.02	999	0	0	-100	0	0	-100	  FAMOTIDINE
SHAIGAN PHARMA	  FAMOTIDINE	   FAMOT              		15477539	100	999	193414	100	386.47	951394	100	-91.2	39759	100	-91.64	  FAMOTIDINE
RAAZEE THERAPEUTIC	  FAMOTIDINE	   LOACID             		12724221	93.84	999	75126	82.43	999	0	0	0	0	0	0	  FAMOTIDINE
BLOOM PHARMA	  FAMOTIDINE	   KAMCID             		416333	3.07	999	3707	4.07	999	0	0	0	0	0	0	  FAMOTIDINE
WIMITS PHARMA	  FAMOTIDINE	   PEPCID             		415718	3.07	-9.09	12227	13.42	-9.09	457300	29.93	-61.23	13450	44.9	-61.23	  FAMOTIDINE
GLOBAL	  FAMOTIDINE	   FADIPHINE          		3295	0.02	-43.27	76	0.08	-43.28	5808	0.38	-99.67	134	0.45	-99.67	  FAMOTIDINE
PHARMIX LAB	  FAMOTIDINE	   ULCOFIN            		0	0	-100	0	0	-100	1064608	69.69	-46	16371	54.65	-46	  FAMOTIDINE
WERRICK PHARMA	  FAMOTIDINE	   PEPTIBAN           		2029766	100	-24.8	28575	100	-27.73	2698990	100	126.47	39540	100	123.81	  FAMOTIDINE
PAKHEIM INTL PHARM	  FAMOTIDINE	   BAN-ULCER          		140550	100	999	9370	100	999	9090	100	-24.91	606	100	-24.91	  FAMOTIDINE
KATRINA PHAR.	  FAMOTIDINE	   ACER-OD            		0	0	0	0	0	0	0	0	-100	0	0	-100	  FAMOTIDINE
WERRICK PHARMA	  FAMOTIDINE	   PEPTIBAN           		12828	100	-25.64	348	100	-25.64	17251	90.65	-45.07	468	98.32	-45.07	  FAMOTIDINE
HIMONT PHARMA	  FAMOTIDINE	   FOMICID            		0	0	-100	0	0	-100	1780	9.35	-94.84	8	1.68	-94.87	  FAMOTIDINE
BLOOM PHARMA	  FAMOTIDINE	   KAMCID             		0	0	0	0	0	0	0	0	-100	0	0	-100	  FAMOTIDINE
HOOVER PHARMACEUTI	  FAMOTIDINE	   STOMOREST          		0	0	0	0	0	0	0	0	-100	0	0	-100	  FAMOTIDINE
